asset_name,asset_id,asset_type,asset_link,asset_parent_id,publication_date,asset parent id,Parent asset type,Asset Agency,Parent Agency,FoundationalorNot,Vparent,All_Asset,asset_cnt,Sparent
FY17-18 IT Spend By Functional Group,ih6n-egtp,chart,https://data.wa.gov/dataset/FY17-18-IT-Spend-By-Functional-Group/ih6n-egtp,6fpy-npmv,02/12/2018 12:00:00 AM,6fpy-npmv,dataset,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,685,0
FY17-18 IT Spend By Functional Group,6fpy-npmv,dataset,https://data.wa.gov/dataset/FY17-18-IT-Spend-By-Functional-Group/6fpy-npmv,,02/12/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,Foundational,1,1,686,0
Mobile broadband deployment - Idaho,rrdv-p5ir,filter,https://data.wa.gov/Economics/Mobile-broadband-deployment-Idaho/rrdv-p5ir,k882-u84m,02/12/2018 12:00:00 AM,k882-u84m,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,687,0
Region Condition,fuyr-sk5y,filter,https://data.wa.gov/dataset/Region-Condition/fuyr-sk5y,6ukv-n3hz,02/13/2018 12:00:00 AM,6ukv-n3hz,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,688,0
Alternative Adult Abundance Example 2-12-2018,6ukv-n3hz,dataset,https://data.wa.gov/dataset/Alternative-Adult-Abundance-Example-2-12-2018/6ukv-n3hz,,02/13/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,689,0
Mobile Broadband deployment - WA,skgr-3rmn,filter,https://data.wa.gov/Economics/Mobile-Broadband-deployment-WA/skgr-3rmn,k882-u84m,02/13/2018 12:00:00 AM,k882-u84m,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,690,0
Alt Adult  Abundance Recovery Goal Only,7d9f-7aqw,filter,https://data.wa.gov/dataset/Alt-Adult-Abundance-Recovery-Goal-Only/7d9f-7aqw,6ukv-n3hz,02/13/2018 12:00:00 AM,6ukv-n3hz,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,691,0
Washington fixed broadband,m4su-e2x8,filter,https://data.wa.gov/Economics/Washington-fixed-broadband/m4su-e2x8,uyg8-hybx,02/13/2018 12:00:00 AM,uyg8-hybx,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,692,0
Website View,im25-68dw,chart,https://data.wa.gov/dataset/Website-View/im25-68dw,6fpy-npmv,02/16/2018 12:00:00 AM,6fpy-npmv,dataset,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,693,0
WA Prisons Average Daily Population,k67g-t283,dataset,https://data.wa.gov/Public-Safety/WA-Prisons-Average-Daily-Population/k67g-t283,,02/21/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,Foundational,1,1,694,0
Average Daily Population in WA Prisons,u2vg-x9fe,chart,https://data.wa.gov/Public-Safety/Average-Daily-Population-in-WA-Prisons/u2vg-x9fe,k67g-t283,02/22/2018 12:00:00 AM,k67g-t283,dataset,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,695,0
Committee Reports,ebuj-znrn,filter,https://data.wa.gov/Politics/Committee-Reports/ebuj-znrn,j78t-andi,02/28/2018 12:00:00 AM,j78t-andi,dataset,Public Disclosure Commission (PDC),Public Disclosure Commission (PDC),Derivative,0,1,696,0
Candidate Reports,7vmi-4m9e,filter,https://data.wa.gov/Politics/Candidate-Reports/7vmi-4m9e,j78t-andi,02/28/2018 12:00:00 AM,j78t-andi,dataset,Public Disclosure Commission (PDC),Public Disclosure Commission (PDC),Derivative,0,1,697,0
Lobbyist Compensation and Expenses by Source,9nnw-c693,dataset,https://data.wa.gov/Politics/Lobbyist-Compensation-and-Expenses-by-Source/9nnw-c693,,03/07/2018 12:00:00 AM,,,Public Disclosure Commission (PDC),,Foundational,0,1,698,0
Transient Accommodations (Hotels and Motels),9vm5-7kxk,href,https://data.wa.gov/Health/Transient-Accommodations-Hotels-and-Motels-/9vm5-7kxk,,03/12/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,External,0,1,699,0
Fatalities from Prescription Opioid Overdoses,ethk-yi44,href,https://data.wa.gov/Health/Fatalities-from-Prescription-Opioid-Overdoses/ethk-yi44,,03/13/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,External,0,1,700,0
2016 Greenhouse Gas Report with Sectors- Map,2xik-t628,map,https://data.wa.gov/Natural-Resources-Environment/2016-Greenhouse-Gas-Report-with-Sectors-Map/2xik-t628,55hd-c2d5,03/14/2018 12:00:00 AM,55hd-c2d5,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,701,0
State IT Expenditures - FY17,3b7q-74f4,dataset,https://data.wa.gov/Procurements-and-Contracts/State-IT-Expenditures-FY17/3b7q-74f4,,03/14/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,Foundational,1,1,702,0
NC - Kassel - Summary Statementof Apprentice- Journeyman Participation DES,bn4u-fdfv,dataset,https://data.wa.gov/Education/NC-Kassel-Summary-Statementof-Apprentice-Journeyma/bn4u-fdfv,,03/14/2018 12:00:00 AM,,,Shoreline School District,,Foundational,0,1,703,0
WA PM2.5 Monitor Types,efrr-mnpp,map,https://data.wa.gov/Natural-Resources-Environment/WA-PM2-5-Monitor-Types/efrr-mnpp,tt5v-gg3d,03/19/2018 12:00:00 AM,tt5v-gg3d,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,704,0
Master Expenditure Tracking Table 3-21-2018,knvg-qm85,dataset,https://data.wa.gov/dataset/Master-Expenditure-Tracking-Table-3-21-2018/knvg-qm85,,03/21/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,705,0
Tenino Elementary,qymv-67iw,file,https://data.wa.gov/Health/Tenino-Elementary/qymv-67iw,,03/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,706,0
Central Elementary,hjcs-ehy4,file,https://data.wa.gov/Health/Central-Elementary/hjcs-ehy4,,03/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,707,0
Oakville Elementary,bhpj-n74n,file,https://data.wa.gov/Health/Oakville-Elementary/bhpj-n74n,,03/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,708,0
Morton Elementary,iuqy-jds3,file,https://data.wa.gov/Health/Morton-Elementary/iuqy-jds3,,03/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,709,0
Tenino Middle School,e544-2re8,file,https://data.wa.gov/Health/Tenino-Middle-School/e544-2re8,,03/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,710,0
CPA Firms - table view,3jxr-etsd,visualization,https://data.wa.gov/Consumer-Protection/CPA-Firms-table-view/3jxr-etsd,pzcu-jpab,03/23/2018 12:00:00 AM,pzcu-jpab,dataset,Washington State Technology Solutions (CTS),"Accountancy, State Board of (WBOA)(ACB)",Derivative,0,1,711,0
Harmony Elementary,2huh-ia5i,file,https://data.wa.gov/Health/Harmony-Elementary/2huh-ia5i,,03/26/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,712,0
Cougar Creek Elementary,ge54-6p8n,file,https://data.wa.gov/Health/Cougar-Creek-Elementary/ge54-6p8n,,03/26/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,713,0
Washtucna Elementary,muf3-r8c9,file,https://data.wa.gov/Health/Washtucna-Elementary/muf3-r8c9,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,714,0
Boisfort Elementary,uazq-5d9p,file,https://data.wa.gov/Health/Boisfort-Elementary/uazq-5d9p,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,715,0
Hockinson Heights Elementary,dy4z-7qnm,file,https://data.wa.gov/Health/Hockinson-Heights-Elementary/dy4z-7qnm,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,716,0
Parkside Elementary,h6py-nq4h,file,https://data.wa.gov/Health/Parkside-Elementary/h6py-nq4h,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,717,0
Sumas Elementary,2fna-kukm,file,https://data.wa.gov/Health/Sumas-Elementary/2fna-kukm,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,718,0
Lakewood High School,yji7-twsm,file,https://data.wa.gov/Health/Lakewood-High-School/yji7-twsm,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,719,0
Toledo Elementary,d7pn-hxrd,file,https://data.wa.gov/Health/Toledo-Elementary/d7pn-hxrd,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,720,0
Snoqualmie Elementary,rtp5-s6ih,file,https://data.wa.gov/Health/Snoqualmie-Elementary/rtp5-s6ih,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,721,0
Toledo Middle,xfn3-aupk,file,https://data.wa.gov/Health/Toledo-Middle/xfn3-aupk,,03/29/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,722,0
Kahlotus Elementary,a57z-zecw,file,https://data.wa.gov/Health/Kahlotus-Elementary/a57z-zecw,,04/03/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,723,0
Armin Jahr Elementary,awhz-wbzc,file,https://data.wa.gov/Health/Armin-Jahr-Elementary/awhz-wbzc,,04/03/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,724,0
Benge Elementary,pksc-24zs,file,https://data.wa.gov/Health/Benge-Elementary/pksc-24zs,,04/03/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,725,0
Ritzville Grade School,dbek-mixv,file,https://data.wa.gov/Health/Ritzville-Grade-School/dbek-mixv,,04/03/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,726,0
Wilkeson Elementary,rszh-2trr,file,https://data.wa.gov/Health/Wilkeson-Elementary/rszh-2trr,,04/03/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,727,0
Toledo High School,6uhb-k8pa,file,https://data.wa.gov/Health/Toledo-High-School/6uhb-k8pa,,04/03/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,728,0
Lobbyist Employers Summary,biux-xiwe,dataset,https://data.wa.gov/Politics/Lobbyist-Employers-Summary/biux-xiwe,,04/04/2018 12:00:00 AM,,,Public Disclosure Commission (PDC),,Foundational,0,1,729,0
Voter Precinct to Jurisdiction Crosswalk,efcw-k4fa,dataset,https://data.wa.gov/Politics/Voter-Precinct-to-Jurisdiction-Crosswalk/efcw-k4fa,,04/09/2018 12:00:00 AM,,,Public Disclosure Commission (PDC),,Foundational,0,1,730,0
Cresent Harbor Elementary School,mcsf-deei,file,https://data.wa.gov/Health/Cresent-Harbor-Elementary-School/mcsf-deei,,04/12/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,731,0
West Hill STEMS,kjiu-4cue,file,https://data.wa.gov/Health/West-Hill-STEMS/kjiu-4cue,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,732,0
Broadview Elementary,ib9z-p8ai,file,https://data.wa.gov/Health/Broadview-Elementary/ib9z-p8ai,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,733,0
View Ridge Elementary School,fqmc-bjkd,file,https://data.wa.gov/Health/View-Ridge-Elementary-School/fqmc-bjkd,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,734,0
Cresent Harbor Elementary School,8znw-7y5m,file,https://data.wa.gov/Health/Cresent-Harbor-Elementary-School/8znw-7y5m,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,735,0
Mountain View Middle,n6nr-z3e3,file,https://data.wa.gov/Health/Mountain-View-Middle/n6nr-z3e3,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,736,0
Starbuck School,wtda-rrnp,file,https://data.wa.gov/Health/Starbuck-School/wtda-rrnp,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,737,0
Shoreline Childrens Center,9nhq-knvs,file,https://data.wa.gov/Health/Shoreline-Childrens-Center/9nhq-knvs,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,738,0
Leonard M Jenning Elementary,67dz-ikj6,file,https://data.wa.gov/Health/Leonard-M-Jenning-Elementary/67dz-ikj6,,04/13/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,739,0
CPAs with Board Orders,guun-zsfq,filter,https://data.wa.gov/Consumer-Protection/CPAs-with-Board-Orders/guun-zsfq,6du3-3h9e,04/18/2018 12:00:00 AM,6du3-3h9e,dataset,Washington State Technology Solutions (CTS),"Accountancy, State Board of (WBOA)(ACB)",Derivative,0,1,740,0
CPA firms with Board Orders,hnj3-2ua8,visualization,https://data.wa.gov/Consumer-Protection/CPA-firms-with-Board-Orders/hnj3-2ua8,pzcu-jpab,04/18/2018 12:00:00 AM,pzcu-jpab,dataset,Washington State Technology Solutions (CTS),"Accountancy, State Board of (WBOA)(ACB)",Derivative,0,1,741,0
John Campbell,xfvd-r3y9,file,https://data.wa.gov/Health/John-Campbell/xfvd-r3y9,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,742,0
Crownhill Elementary,ckzb-h5uw,file,https://data.wa.gov/Health/Crownhill-Elementary/ckzb-h5uw,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,743,0
East Farms Elementary,azsd-7b76,file,https://data.wa.gov/Health/East-Farms-Elementary/azsd-7b76,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,744,0
Bremerton High,9rzk-46v9,file,https://data.wa.gov/Health/Bremerton-High/9rzk-46v9,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,745,0
Onion Creek,7i8p-t7z6,file,https://data.wa.gov/Health/Onion-Creek/7i8p-t7z6,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,746,0
Steptoe Elementary,hq5b-r2hb,file,https://data.wa.gov/Health/Steptoe-Elementary/hq5b-r2hb,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,747,0
Kettle Falls Elementary,uu2h-cgpm,file,https://data.wa.gov/Health/Kettle-Falls-Elementary/uu2h-cgpm,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,748,0
Adelaide Elementary,aufs-tku5,file,https://data.wa.gov/Health/Adelaide-Elementary/aufs-tku5,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,749,0
Choice Alternative,x7uw-cssh,file,https://data.wa.gov/Health/Choice-Alternative/x7uw-cssh,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,750,0
Oak Harbor Elementary,tkfg-9q2m,file,https://data.wa.gov/Health/Oak-Harbor-Elementary/tkfg-9q2m,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,751,0
Hill Crest Elementary,q3jj-g52q,file,https://data.wa.gov/Health/Hill-Crest-Elementary/q3jj-g52q,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,752,0
Palisades Elementary,wbfc-a49j,file,https://data.wa.gov/Health/Palisades-Elementary/wbfc-a49j,,04/23/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,753,0
Better Brakes - Tracking Progress,wdb7-jbuv,dataset,https://data.wa.gov/Natural-Resources-Environment/Better-Brakes-Tracking-Progress/wdb7-jbuv,,04/27/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,754,0
Sifton Elementary,jsfy-j9xm,file,https://data.wa.gov/Health/Sifton-Elementary/jsfy-j9xm,,04/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,755,0
Crescent School,2u9s-9xjg,file,https://data.wa.gov/Health/Crescent-School/2u9s-9xjg,,04/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,756,0
Orondo Elementary School,nnim-y24v,file,https://data.wa.gov/Health/Orondo-Elementary-School/nnim-y24v,,04/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,757,0
Better Brakes - List of Certified Parts,bv9x-jtbr,dataset,https://data.wa.gov/Natural-Resources-Environment/Better-Brakes-List-of-Certified-Parts/bv9x-jtbr,,04/30/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,758,0
Better Brakes - List of Manufacturers Reporting,2dwu-pywu,dataset,https://data.wa.gov/Natural-Resources-Environment/Better-Brakes-List-of-Manufacturers-Reporting/2dwu-pywu,,04/30/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,759,0
McKinley Elementary,6h67-iwxu,file,https://data.wa.gov/Health/McKinley-Elementary/6h67-iwxu,,04/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,760,0
Elkridge Elementary,pcre-dwu7,file,https://data.wa.gov/Health/Elkridge-Elementary/pcre-dwu7,,04/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,761,0
Olympic View,mnce-u864,file,https://data.wa.gov/Health/Olympic-View/mnce-u864,,04/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,762,0
Trentwood Elem,n4zi-dkdn,file,https://data.wa.gov/Health/Trentwood-Elem/n4zi-dkdn,,04/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,763,0
Reported Facility Emissions Map (2014),nnm6-gknp,map,https://data.wa.gov/Natural-Resources-Environment/Reported-Facility-Emissions-Map-2014-/nnm6-gknp,t94r-s3m2,05/01/2018 12:00:00 AM,t94r-s3m2,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,764,0
Reported Facility Emissions (2014),t94r-s3m2,dataset,https://data.wa.gov/Natural-Resources-Environment/Reported-Facility-Emissions-2014-/t94r-s3m2,,05/01/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,765,0
Olympic View,9ddd-ww9y,file,https://data.wa.gov/Health/Olympic-View/9ddd-ww9y,,05/08/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,766,0
Evergreen School  1,6ude-3axn,file,https://data.wa.gov/dataset/Evergreen-School-1/6ude-3axn,,05/08/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,767,0
Evergreen School  1,yhr5-4xw4,file,https://data.wa.gov/Health/Evergreen-School-1/yhr5-4xw4,,05/08/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,768,0
Agency Contracts Fiscal Year 2014,jeuk-pueh,dataset,https://data.wa.gov/Procurements-and-Contracts/Agency-Contracts-Fiscal-Year-2014/jeuk-pueh,,05/08/2018 12:00:00 AM,,,"Enterprise Services, Department of (DES)",,Foundational,1,1,769,0
Toledo High,pvpn-rmhs,file,https://data.wa.gov/Health/Toledo-High/pvpn-rmhs,,05/08/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,770,0
Blaine Elementary 1,hg5a-r2w6,file,https://data.wa.gov/Health/Blaine-Elementary-1/hg5a-r2w6,,05/08/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,771,0
Agency Contracts Fiscal Year 2016,dq2q-43tp,dataset,https://data.wa.gov/Procurements-and-Contracts/Agency-Contracts-Fiscal-Year-2016/dq2q-43tp,,05/08/2018 12:00:00 AM,,,"Enterprise Services, Department of (DES)",,Foundational,0,1,772,0
Agency Contracts Fiscal Year 2015,j59h-dkq5,dataset,https://data.wa.gov/Procurements-and-Contracts/Agency-Contracts-Fiscal-Year-2015/j59h-dkq5,,05/08/2018 12:00:00 AM,,,"Enterprise Services, Department of (DES)",,Foundational,0,1,773,0
Millwood Early Childhood  Center,j9kn-329g,file,https://data.wa.gov/Health/Millwood-Early-Childhood-Center/j9kn-329g,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,774,0
Summit Valley School,bubw-diyz,file,https://data.wa.gov/Health/Summit-Valley-School/bubw-diyz,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,775,0
Brewster Elementary,iscw-e6yt,file,https://data.wa.gov/Health/Brewster-Elementary/iscw-e6yt,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,776,0
Madison Head Start,u9yb-pvvj,file,https://data.wa.gov/Health/Madison-Head-Start/u9yb-pvvj,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,777,0
Mountain View Elementary 1,ia83-urdz,file,https://data.wa.gov/Health/Mountain-View-Elementary-1/ia83-urdz,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,778,0
Bay Terrace Elementary,94pm-hzhf,file,https://data.wa.gov/Health/Bay-Terrace-Elementary/94pm-hzhf,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,779,0
Jason Lee Elementary,sq47-zr6t,file,https://data.wa.gov/Health/Jason-Lee-Elementary/sq47-zr6t,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,780,0
Grantham Elementary,jy6x-buat,file,https://data.wa.gov/Health/Grantham-Elementary/jy6x-buat,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,781,0
IDEA Park High School 2,rtjc-jkfh,file,https://data.wa.gov/Health/IDEA-Park-High-School-2/rtjc-jkfh,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,782,0
Martin Luther King Elementary1,797c-3548,file,https://data.wa.gov/Health/Martin-Luther-King-Elementary1/797c-3548,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,783,0
Sheridan Elementary,2ibj-g99f,file,https://data.wa.gov/Health/Sheridan-Elementary/2ibj-g99f,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,784,0
Clover Valley Elementary,x77f-ey35,file,https://data.wa.gov/Health/Clover-Valley-Elementary/x77f-ey35,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,785,0
Fawcett Elementary,5kcn-arpf,file,https://data.wa.gov/Health/Fawcett-Elementary/5kcn-arpf,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,786,0
Selkirk Elementary  School,m2p5-xx2z,file,https://data.wa.gov/Health/Selkirk-Elementary-School/m2p5-xx2z,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,787,0
Pateros K-12,u445-eedx,file,https://data.wa.gov/Health/Pateros-K-12/u445-eedx,,05/14/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,788,0
Central Park,8hpi-9m3m,file,https://data.wa.gov/Health/Central-Park/8hpi-9m3m,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,789,0
Harry S Truman,fcqq-ybri,file,https://data.wa.gov/Health/Harry-S-Truman/fcqq-ybri,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,790,0
Hawthorne Elementary,scqv-y9et,file,https://data.wa.gov/Health/Hawthorne-Elementary/scqv-y9et,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,791,0
Crown Hill Elementary Re-test,62ye-kqqm,file,https://data.wa.gov/Health/Crown-Hill-Elementary-Re-test/62ye-kqqm,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,792,0
Orchard Prairie,4z7g-pnzr,file,https://data.wa.gov/Health/Orchard-Prairie/4z7g-pnzr,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,793,0
Maple Elementary,bk33-dzdv,file,https://data.wa.gov/Health/Maple-Elementary/bk33-dzdv,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,794,0
Basin Elementary School,s3hp-d5n9,file,https://data.wa.gov/Health/Basin-Elementary-School/s3hp-d5n9,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,795,0
Wilson Elementary School,d2d5-tzh3,file,https://data.wa.gov/Health/Wilson-Elementary-School/d2d5-tzh3,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,796,0
Edison Elementary,jnni-9x3j,file,https://data.wa.gov/Health/Edison-Elementary/jnni-9x3j,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,797,0
Tonasket Elementary,bcgk-a745,file,https://data.wa.gov/Health/Tonasket-Elementary/bcgk-a745,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,798,0
Peter S Ogden,jwdh-cp9q,file,https://data.wa.gov/Health/Peter-S-Ogden/jwdh-cp9q,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,799,0
Garfield Elementary And Middle,j2w5-q37a,file,https://data.wa.gov/Health/Garfield-Elementary-And-Middle/j2w5-q37a,,05/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,800,0
Panorama School,8dt8-9wkj,file,https://data.wa.gov/Health/Panorama-School/8dt8-9wkj,,05/24/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,801,0
Stevens Elementary,2yp7-rmbs,file,https://data.wa.gov/Health/Stevens-Elementary/2yp7-rmbs,,05/24/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,802,0
Daniel Bagley,vaqt-qn8b,file,https://data.wa.gov/Health/Daniel-Bagley/vaqt-qn8b,,05/24/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,803,0
Kitsap Lake,ayq3-pisd,file,https://data.wa.gov/Health/Kitsap-Lake/ayq3-pisd,,05/24/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,804,0
Hopkins Elementary,9tbn-94h5,file,https://data.wa.gov/Health/Hopkins-Elementary/9tbn-94h5,,05/24/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,805,0
Washington State Certified Public Accountants,6du3-3h9e,dataset,https://data.wa.gov/Consumer-Protection/Washington-State-Certified-Public-Accountants/6du3-3h9e,,06/01/2018 12:00:00 AM,,,"Accountancy, State Board of (WBOA)(ACB)",,Foundational,1,1,806,0
Sunnyslope Elementary,vysb-v99e,file,https://data.wa.gov/Health/Sunnyslope-Elementary/vysb-v99e,,06/04/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,807,0
Lewis And Clark Wenatchee,7q3x-bscm,file,https://data.wa.gov/Health/Lewis-And-Clark-Wenatchee/7q3x-bscm,,06/04/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,808,0
AJ West School,j4r4-tt8c,file,https://data.wa.gov/Health/AJ-West-School/j4r4-tt8c,,06/04/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,809,0
Central Park Follow Up,tun3-9kwp,file,https://data.wa.gov/Health/Central-Park-Follow-Up/tun3-9kwp,,06/04/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,810,0
